COG	ACTUAL	CAPAY	CRPAY	ANI	LIBCOG	LIBENR	ANCNOM
503	4		99132		PITCAIRN (ILE)	PITCAIRN (ÎLE)	
504	2		99404		HAWAII (ILES)	HAWAII (ÎLES)	
505	4		99404		TERR. DES ETATS-UNIS D'AMERIQUE EN OCEANIE	TERR. DES ÉTATS-UNIS D'AMÉRIQUE EN OCÉANIE	
506	1	99505		1962	SAMOA OCCIDENTALES	ÉTAT INDÉPENDANT DES SAMOA OCCIDENTALES	
507	1	99501		1968	NAURU	RÉPUBLIQUE DE NAURU	
508	1	99503		1970	FIDJI	RÉPUBLIQUE DES FIDJI	
509	1	99503		1970	TONGA	ROYAUME DES TONGA	
510	1	99501		1975	PAPOUASIE-NOUVELLE-GUINEE	PAPOUASIE-NOUVELLE-GUINÉE	
511	1	99503		1978	TUVALU	TUVALU	ILES ELLICE
512	1	99503		1978	SALOMON (ILES)	ÎLES SALOMON	ILES SALOMON DU SUD
513	1			1979	KIRIBATI	RÉPUBLIQUE DE KIRIBATI	ILES GILBERT
514	1	99503		1980	VANUATU	RÉPUBLIQUE DE VANUATU	NOUVELLES-HEBRIDES
515	1	99505		1991	MARSHALL (ILES)	RÉPUBLIQUE DES ÎLES MARSHALL	
516	1	99505		1991	MICRONESIE (ETATS FEDERES DE)	ÉTATS FÉDÉRÉS DE MICRONÉSIE	
517	1	99404		1994	PALAOS (ILES)	RÉPUBLIQUE DES ÎLES PALAOS	BELAU
